img_num,bin,percent labelled,scribble_width,mode,macc,mprecision,mrecall,mIoU,mF1,old_mIoU,mIoU_improvement
0,0.5,0.4608154296875,2,all,0.9344889322916666,0.9386531329892711,0.9391591628881851,0.8841926992877044,0.9379726931857704,0.7810574525156897,0.10313524677201469
200,0.5,0.4659016927083333,2,all,0.6407470703125,0.6544815604205227,0.5982691974649136,0.44496348195581825,0.5956689548906626,0.3055425374019225,0.13942094455389575
400,0.5,0.4140218098958333,2,all,0.9591573079427084,0.9051601119380928,0.9186938898665697,0.8384396182171441,0.9085092116556712,0.6739213545842181,0.164518263632926
600,0.5,0.4638671875,2,all,0.808074951171875,0.803202289441628,0.8124398780476516,0.7054814473244686,0.8040948579406639,0.6510086470588493,0.05447280026561929
800,0.5,0.444793701171875,2,all,0.5941352844238281,0.6813922019827188,0.5720689424664921,0.41183827186579186,0.5664718503199484,0.3523296587207963,0.05950861314499556
1000,0.5,0.4109700520833333,2,all,0.9015553792317709,0.9115565718804769,0.9055128260082472,0.828088089710521,0.9050760040353267,0.6692763946494056,0.15881169506111537
1200,0.5,0.4608154296875,2,all,0.83050537109375,0.8631767141951942,0.8159231641806691,0.7018885900076508,0.8145291974628874,0.5191294051003699,0.18275918490728094
1600,0.5,0.4479410046728972,2,all,0.8939653913551402,0.8660899560573292,0.7105824545588663,0.6315376387703903,0.7485072057295208,0.5266461211104858,0.10489151765990445
1800,0.5,0.45928955078125,2,all,0.7923634847005209,0.7912139955580021,0.6960632357785563,0.5727860111882086,0.7097714218499774,0.5350242301909857,0.03776178099722294
2000,0.5,0.4752410979228487,2,all,0.7621302392433235,0.7352606796386038,0.7309273431814766,0.5785535098074259,0.7164318788536844,0.5462660978026341,0.03228741200479179
2200,0.5,0.45166015625,2,all,0.6920522054036459,0.7658295073782685,0.6774196323134053,0.5666375308203215,0.6900994514255707,0.3915881082988698,0.17504942252145173
2400,0.5,0.45538996718978536,2,all,0.798877337233664,0.7465522695410834,0.7595972330391879,0.6076615551381858,0.7488106844527704,0.5184998861475736,0.08916166899061218
2600,0.5,0.4314778645833333,2,all,0.9396419270833334,0.8831758915717911,0.8377932525529843,0.7509210679001936,0.8398732952408553,0.5658566380807233,0.18506442981947036
2800,0.5,0.4511515299479167,2,all,0.7849884033203125,0.740254438994522,0.7583621138332989,0.594489320950208,0.7321955189631868,0.3585679398425786,0.2359213811076294
3000,0.5,0.4543887867647059,2,all,0.8627010569852941,0.7794502076242918,0.7381745717355254,0.6191555622507874,0.7450172949997772,0.4123266653678081,0.20682889688297929
3400,0.5,0.4597981770833333,2,all,0.7995096842447916,0.8019225453124325,0.8107443218788671,0.6708642004378543,0.7934370225205969,0.5753792745024545,0.09548492593539981
3600,0.5,0.4414876302083333,2,all,0.6757609049479166,0.8014168590348489,0.678804276955898,0.5438205846332319,0.6972709067887358,0.3940528735054173,0.14976771112781462
3800,0.5,0.45512513948668903,2,all,0.8344332855093257,0.7570854862701534,0.7879275155361879,0.6411202576733955,0.770310889835867,0.508751502181526,0.13236875549186955
4000,0.5,0.4267374674479167,2,all,0.7811787923177084,0.8409282087071739,0.8040472445489487,0.6680288404171599,0.7877310601600729,0.5839504459819314,0.08407839443522858
4200,0.5,0.43129123900293254,2,all,0.8085479288856305,0.8084279481887785,0.8564612717186583,0.684912794436365,0.8114716834248679,0.5387288264163979,0.14618396801996714
4400,0.5,0.4389444986979167,2,all,0.9201456705729166,0.8981452649698364,0.8799703928752663,0.8027819004318419,0.8886382393423853,0.6471155953816018,0.15566630505024015
